id_hogar,id_persona,peso_persona,region,grado_urbanizacion,anio_nacimiento,edad,sexo,pais_nacimiento,nacionalidad,situacion_actividad,situacion_profesional,horas_semana,jornada,tipo_contrato,personal_a_cargo,anios_experiencia,meses_desempleo_ref,meses_desempleo_5anios,ocupacion_isco08,sector_cnae,nivel_estudios,estado_salud,enfermedad_cronica,limitacion_actividad,necesito_medico_no_fue,renta_neta_salarial,renta_no_monetaria_salarial,renta_neta_hogar,renta_hogar_indicadores,unidades_consumo,num_miembros_hogar,tipo_hogar,hogar_riesgo_pobreza,hogar_carencia_material,retrasos_hipoteca_alquiler,retrasos_facturas,retrasos_deudas_no_vivienda,capacidad_gastos_imprevistos,capacidad_fin_de_mes,puede_vacaciones,puede_proteina_2dias,tiene_ordenador,tiene_coche,carga_prestamos_no_vivienda,puede_sustituir_muebles,puede_calefaccion_invierno,tipo_vivienda,regimen_tenencia,num_habitaciones,importe_alquiler,gastos_vivienda,cuota_hipoteca,cambio_ingresos_12m,motivo_aumento_ingresos,motivo_disminucion_ingresos,expectativa_ingresos_12m,carga_asistencia_medica,carga_asistencia_dental,carga_medicamentos,baja_intensidad_laboral_2020,arope_2020,carencia_material_social_severa,arope_2030,estres_financiero_alto,renta_hogar_per_capita,ratio_carga_vivienda,precariedad_laboral
18243,1824302,542.05154,ES30,Zona muy poblada,1968,56,Mujer,España,España,Trabajando,Asalariado,15.0,Tiempo parcial,Temporal escrito,No,20.0,0.0,0.0,23.0,Educación,Post-secundaria,Regular,No,,No,16977.0,0.0,59523.0,59523.0,2.5,4,"2 adultos, 2 niños",No,No,No,No,No,No (no puede),Con mucha dificultad,Sí,Sí,Sí,Sí,Una carga pesada,No (no puede permitírselo),Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,4.0,0.0,462.68,0.0,Han disminuido,,Reducción horas/salario,Empeorar,Una carga razonable,Una carga pesada,Una carga razonable,No,No,No,No,1,23809.2,0.32704011309418624,1
18245,1824501,1837.42382,ES30,Zona muy poblada,1984,40,Hombre,Extranjero no UE,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,17.0,0.0,0.0,25.0,Información/comunicaciones,Post-secundaria,Muy bueno,No,No limitado,No,47716.8,7.4,48532.0,48532.0,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,No (no puede permitírselo),Ninguna carga,Sí,No,Piso ≥10 viviendas,Alquiler precio mercado,1.0,655.61,830.05,0.0,Se mantienen,,,Mantenerse,No ha utilizado,Una carga razonable,No ha consumido,No,No,No,No,0,48532.0,0.20874409013177744,0
18246,1824601,802.48336,ES30,Zona muy poblada,1981,43,Hombre,España,España,Trabajando,Asalariado,35.0,Tiempo completo,Indefinido escrito,No,20.0,0.0,0.0,21.0,Información/comunicaciones,Post-secundaria,Regular,Sí,No limitado,No,33284.6,0.0,33628.7,33628.7,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,No (no puede),Con cierta dificultad,Sí,Sí,Sí,Sí,Una carga razonable,Sí,Sí,Piso ≥10 viviendas,Propiedad con hipoteca,4.0,0.0,491.52,450.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Ninguna carga,No,No,No,No,0,33628.7,0.1772062755748905,0
18253,1825301,483.99864,ES30,Zona muy poblada,1963,61,Hombre,España,España,Trabajando,Asalariado,39.0,Tiempo completo,Indefinido escrito,No,3.0,0.0,0.0,51.0,Hogares como empleadores,Post-secundaria,Bueno,Sí,No limitado,No,18410.4,1396.4,15278.3,15278.3,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,No (no puede),Con dificultad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Cesión gratuita,4.0,0.0,49.02,0.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga razonable,Una carga razonable,No aplicable (≥60 años),No,No,No,1,15278.3,0.031951505670707855,0
18254,1825401,410.21336,ES30,Zona muy poblada,1961,63,Mujer,España,España,Trabajando,Asalariado,38.0,Tiempo completo,Indefinido escrito,No,41.0,0.0,0.0,41.0,Administración pública/defensa,Secundaria 1a etapa,Regular,Sí,Limitado pero no gravemente,No,33812.6,0.0,66299.1,66299.1,2.0,3,Otros sin niños,No,No,No,No,No,No (no puede),Con dificultad,Sí,Sí,Sí,Sí,Ninguna carga,No (no puede permitírselo),No,Piso ≥10 viviendas,Propiedad con hipoteca,5.0,0.0,1061.0,950.0,Se mantienen,,,Mantenerse,Una carga pesada,Una carga pesada,Una carga pesada,No aplicable (≥60 años),No,No,No,1,33149.55,0.3765460213056671,0
18255,1825502,431.83195,ES30,Zona muy poblada,1965,59,Mujer,España,España,Trabajando,Asalariado,50.0,Tiempo completo,Indefinido escrito,Sí,36.0,0.0,0.0,13.0,Actividades profesionales/científicas,Post-secundaria,Regular,Sí,Limitado pero no gravemente,No,28486.8,0.0,38463.8,38463.8,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con mucha facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad con hipoteca,5.0,0.0,543.54,150.0,Se mantienen,,,Empeorar,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,25642.533333333336,0.22896499431315556,0
18256,1825601,258.21294,ES30,Zona muy poblada,1994,30,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,7.0,0.0,12.0,26.0,Actividades artísticas/recreativas,Post-secundaria,Bueno,Sí,No limitado,No,25634.9,509.9,39237.7,39237.7,2.0,3,Otros sin niños,No,No,No,No,No,No (no puede),Con cierta facilidad,Sí,Sí,Sí,No (no puede permitírselo),Una carga pesada,No (otras razones),Sí,Piso ≥10 viviendas,Alquiler precio reducido,3.0,1463.5,1651.35,0.0,Han aumentado,Revalorización salario,,Mejorar,Ninguna carga,Una carga razonable,No ha consumido,No,No,No,No,0,19618.85,0.7730164736355514,0
18257,1825701,244.9548,ES30,Zona muy poblada,1965,59,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,36.0,0.0,0.0,51.0,Actividades administrativas,Hasta primaria,Bueno,Sí,No limitado,No,19572.7,1401.9,24254.5,24254.5,1.5,2,1 adulto con niños,No,No,No,No,No,No (no puede),Con cierta dificultad,No,Sí,Sí,No (no puede permitírselo),Ninguna carga,No (otras razones),Sí,Piso ≥10 viviendas,Cesión gratuita,4.0,0.0,63.64,0.0,Se mantienen,,,Mantenerse,Una carga pesada,Una carga pesada,Una carga pesada,No,No,No,No,0,16169.666666666666,0.03901761126466967,0
18258,1825801,660.86855,ES30,Zona muy poblada,1992,32,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Temporal escrito,No,7.0,0.0,3.0,21.0,Educación,Post-secundaria,Muy bueno,No,No limitado,No,13392.92,0.0,26049.42,26049.42,1.5,2,2 adultos ≥65 sin niños,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,No,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio reducido,3.0,593.5,742.03,0.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No,0,17366.28,0.6648557596103016,1
18259,1825901,927.14126,ES30,Zona muy poblada,1978,46,Mujer,España,España,Trabajando,Asalariado,37.0,Tiempo completo,Indefinido escrito,No,20.0,0.0,0.0,24.0,Actividades profesionales/científicas,Post-secundaria,Bueno,No,No limitado,No,33926.8,531.2,33599.4,33599.4,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,No (otras razones),Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,6.0,0.0,435.64,0.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No,0,33599.4,0.1540870344388507,0
