id_hogar,id_persona,peso_persona,region,grado_urbanizacion,anio_nacimiento,edad,sexo,pais_nacimiento,nacionalidad,situacion_actividad,situacion_profesional,horas_semana,jornada,tipo_contrato,personal_a_cargo,anios_experiencia,meses_desempleo_ref,meses_desempleo_5anios,ocupacion_isco08,sector_cnae,nivel_estudios,estado_salud,enfermedad_cronica,limitacion_actividad,necesito_medico_no_fue,renta_neta_salarial,renta_no_monetaria_salarial,renta_neta_hogar,renta_hogar_indicadores,unidades_consumo,num_miembros_hogar,tipo_hogar,hogar_riesgo_pobreza,hogar_carencia_material,retrasos_hipoteca_alquiler,retrasos_facturas,retrasos_deudas_no_vivienda,capacidad_gastos_imprevistos,capacidad_fin_de_mes,puede_vacaciones,puede_proteina_2dias,tiene_ordenador,tiene_coche,carga_prestamos_no_vivienda,puede_sustituir_muebles,puede_calefaccion_invierno,tipo_vivienda,regimen_tenencia,num_habitaciones,importe_alquiler,gastos_vivienda,cuota_hipoteca,cambio_ingresos_12m,motivo_aumento_ingresos,motivo_disminucion_ingresos,expectativa_ingresos_12m,carga_asistencia_medica,carga_asistencia_dental,carga_medicamentos,baja_intensidad_laboral_2020,arope_2020,carencia_material_social_severa,arope_2030
28635,2863503,414.0528,ES30,Zona muy poblada,1979,45,Mujer,España,España,Trabajando,Asalariado,37.0,Tiempo completo,Indefinido escrito,No,24.0,0.0,0.0,44.0,Transporte/almacenamiento,Post-secundaria no superior,Regular,Sí,Limitado pero no gravemente,Sí,19286.4,0.0,40933.6,40933.6,1.8,3,"2 adultos, 1 niño",No,No,,No,No,Sí,Con mucha dificultad,No,Sí,Sí,Sí,Una carga pesada,No (no puede permitírselo),No,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,,317.6,,Se mantienen,,,,Ninguna carga,Una carga pesada,Una carga pesada,No,No,No,No
28636,2863601,777.26108,ES30,Zona muy poblada,1974,50,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,23.0,0.0,0.0,21.0,Actividades profesionales/científicas,Post-secundaria no superior,Bueno,No,No limitado,No,54195.1,183.2,125868.8,125868.8,2.5,4,"2 adultos, 2 niños",No,No,No,No,,Sí,Con facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad con hipoteca,5.0,,1057.81,1403.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
28636,2863604,772.88798,ES30,Zona muy poblada,1974,50,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,24.0,0.0,0.0,21.0,Actividades profesionales/científicas,Post-secundaria no superior,Bueno,No,No limitado,No,62138.1,4229.7,125868.8,125868.8,2.5,4,"2 adultos, 2 niños",No,No,No,No,,Sí,Con facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad con hipoteca,5.0,,1057.81,1403.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
28638,2863801,1228.88832,ES30,Zona muy poblada,1976,48,Mujer,UE,UE,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,,0.0,0.0,53.0,Sanidad/servicios sociales,Secundaria 1ª etapa,Bueno,No,No limitado,No,16933.4,0.0,42533.9,42533.9,2.5,4,"2 adultos, 2 niños",No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,Sí,Sí,Una carga pesada,No (otras razones),Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,600.0,839.57,,Se mantienen,,,Empeorar,Ninguna carga,Una carga pesada,Ninguna carga,No,No,No,No
28638,2863804,1220.33143,ES30,Zona muy poblada,1976,48,Hombre,UE,UE,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,21.0,0.0,0.0,71.0,Hostelería,Secundaria 1ª etapa,Muy bueno,No,No limitado,,17952.9,0.0,42533.9,42533.9,2.5,4,"2 adultos, 2 niños",No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,Sí,Sí,Una carga pesada,No (otras razones),Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,600.0,839.57,,Se mantienen,,,Empeorar,Ninguna carga,Una carga pesada,Ninguna carga,No,No,No,No
28639,2863901,679.94957,ES30,Zona muy poblada,1985,39,Hombre,España,España,Trabajando,Asalariado,,Tiempo completo,Indefinido escrito,No,16.0,0.0,0.0,23.0,Educación,Post-secundaria no superior,Bueno,No,No limitado,No,51715.2,0.0,77542.4,77542.4,1.8,3,"2 adultos, 1 niño",No,No,,No,,Sí,Con facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,,272.39,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Ninguna carga,No,No,No,No
28639,2863902,679.08178,ES30,Zona muy poblada,1986,38,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo parcial,,No,17.0,0.0,0.0,43.0,Actividades profesionales/científicas,Post-secundaria no superior,Bueno,No,No limitado,No,19969.5,0.0,77542.4,77542.4,1.8,3,"2 adultos, 1 niño",No,No,,No,,Sí,Con facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,,272.39,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Ninguna carga,No,No,No,No
28640,2864001,619.05464,ES30,Zona muy poblada,1971,53,Hombre,España,España,Trabajando,Asalariado,38.0,Tiempo completo,Temporal escrito,No,15.0,1.0,60.0,33.0,Administración pública/defensa,Post-secundaria no superior,Bueno,No,No limitado,No,25570.1,0.0,83252.0,83252.0,2.0,3,"2 adultos, 1 niño",No,No,,No,,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso <10 viviendas,Propiedad sin hipoteca,5.0,,424.61,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
28640,2864002,622.55732,ES30,Zona muy poblada,1970,54,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,29.0,0.0,0.0,35.0,Información/comunicaciones,Post-secundaria no superior,Malo,Sí,Limitado pero no gravemente,No,54466.0,1550.3,83252.0,83252.0,2.0,3,"2 adultos, 1 niño",No,No,,No,,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso <10 viviendas,Propiedad sin hipoteca,5.0,,424.61,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
28641,2864101,383.43744,ES30,Zona muy poblada,1964,60,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,34.0,0.0,0.0,26.0,Sanidad/servicios sociales,Post-secundaria no superior,Bueno,No,Limitado pero no gravemente,Sí,24520.4,0.0,24579.0,24579.0,1.0,1,Una persona: mujer 30-64 años,No,No,,No,,Sí,Con cierta dificultad,Sí,Sí,Sí,Sí,,No (otras razones),Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,2.0,,223.97,,Se mantienen,,,Empeorar,Una carga razonable,Una carga pesada,Una carga razonable,No aplicable (≥60 años),No,No,No
28642,2864201,683.06158,ES30,Zona muy poblada,1980,44,Hombre,Extranjero no UE,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,25.0,0.0,0.0,91.0,Actividades administrativas,Secundaria 1ª etapa,Muy bueno,No,No limitado,,15087.2,0.0,21720.8,21720.8,1.5,2,2 adultos ≥65 sin niños,No,No,No,No,No,No (no puede),Con dificultad,No,Sí,Sí,Sí,Una carga razonable,No (no puede permitírselo),No,Piso ≥10 viviendas,Propiedad con hipoteca,5.0,,663.62,600.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,Sí,Sí
28643,2864301,602.08259,ES30,Zona muy poblada,1980,44,Mujer,España,España,Trabajando,Asalariado,30.0,Tiempo parcial,Indefinido escrito,No,16.0,9.0,11.0,52.0,Comercio/reparación vehículos,Secundaria 1ª etapa con título,Bueno,Sí,No limitado,No,2444.3,7.7,24304.98,24304.98,1.8,3,"2 adultos, 1 niño",No,No,No,No,No,No (no puede),Con cierta dificultad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad con hipoteca,4.0,,323.77,240.0,Han aumentado,Nuevo/cambio empleo,,Mejorar,Ninguna carga,Una carga razonable,Una carga razonable,No,No,No,No
28643,2864303,603.05164,ES30,Zona muy poblada,1979,45,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,18.0,0.0,0.0,31.0,Industria manufacturera,Post-secundaria no superior,Bueno,No,No limitado,No,21701.28,0.0,24304.98,24304.98,1.8,3,"2 adultos, 1 niño",No,No,No,No,No,No (no puede),Con cierta dificultad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad con hipoteca,4.0,,323.77,240.0,Han aumentado,Nuevo/cambio empleo,,Mejorar,Ninguna carga,Una carga razonable,Una carga razonable,No,No,No,No
28644,2864401,491.62824,ES30,Zona muy poblada,1978,46,Mujer,España,España,Trabajando,Asalariado,32.0,Tiempo parcial,Indefinido escrito,No,25.0,0.0,0.0,42.0,Actividades financieras/seguros,Secundaria 1ª etapa,Muy bueno,No,No limitado,,30846.2,479.7,40685.37,40685.37,2.0,3,1 adulto con niños,No,No,No,No,,Sí,Con cierta dificultad,No,Sí,Sí,Sí,,No (no puede permitírselo),Sí,Piso ≥10 viviendas,Propiedad con hipoteca,5.0,,551.28,900.0,Se mantienen,,,Mejorar,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No
28646,2864601,714.11941,ES30,Zona media,1974,50,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,12.0,0.0,0.0,32.0,Sanidad/servicios sociales,Secundaria 1ª etapa con título,Bueno,Sí,No limitado,No,15633.3,0.0,61581.1,61581.1,3.0,5,Otros con niños,No,No,,No,,Sí,Con facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso <10 viviendas,Propiedad sin hipoteca,5.0,,235.77,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
28646,2864602,708.7877,ES30,Zona media,1976,48,Hombre,España,España,Trabajando,Asalariado,55.0,Tiempo completo,Indefinido escrito,No,30.0,0.0,0.0,83.0,Transporte/almacenamiento,Post-secundaria no superior,Muy bueno,No,No limitado,,24467.5,0.0,61581.1,61581.1,3.0,5,Otros con niños,No,No,,No,,Sí,Con facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso <10 viviendas,Propiedad sin hipoteca,5.0,,235.77,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
28646,2864604,710.75394,ES30,Zona media,2003,21,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,4.0,0.0,0.0,3.0,Administración pública/defensa,Secundaria 1ª etapa,Muy bueno,No,No limitado,,17612.7,0.0,61581.1,61581.1,3.0,5,Otros con niños,No,No,,No,,Sí,Con facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso <10 viviendas,Propiedad sin hipoteca,5.0,,235.77,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
28650,2865001,687.91299,ES30,Zona media,1974,50,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,30.0,0.0,0.0,43.0,Industria manufacturera,Post-secundaria no superior,Bueno,No,Limitado pero no gravemente,No,42055.3,533.2,82636.8,82636.8,2.0,3,Otros sin niños,No,No,,No,,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,,248.85,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
28650,2865002,691.80529,ES30,Zona media,1974,50,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,30.0,0.0,0.0,41.0,Actividades financieras/seguros,Post-secundaria no superior,Bueno,Sí,No limitado,,26554.3,0.0,82636.8,82636.8,2.0,3,Otros sin niños,No,No,,No,,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,,248.85,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
28650,2865003,688.6539,ES30,Zona media,2002,22,Mujer,España,España,Trabajando,Asalariado,20.0,Tiempo parcial,Temporal escrito,,0.0,0.0,0.0,22.0,Sanidad/servicios sociales,Post-secundaria no superior,Muy bueno,No,No limitado,,7576.4,0.0,82636.8,82636.8,2.0,3,Otros sin niños,No,No,,No,,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,,248.85,,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No
