ocupacion_isco08,jornada,tipo_contrato,renta_neta_salarial
54.0,Tiempo completo,Indefinido escrito,20132.7
41.0,Tiempo completo,Indefinido escrito,16590.3
54.0,Tiempo completo,Indefinido escrito,47723.0
81.0,Tiempo completo,Indefinido escrito,36026.5
81.0,Tiempo completo,Indefinido escrito,39827.6
72.0,Tiempo completo,Indefinido escrito,21499.4
51.0,Tiempo completo,Temporal escrito,9459.4
24.0,Tiempo completo,Indefinido escrito,26285.4
26.0,Tiempo completo,Indefinido escrito,32168.2
41.0,Tiempo parcial,Indefinido escrito,5862.4
42.0,Tiempo completo,Indefinido escrito,11853.6
42.0,Tiempo parcial,Temporal escrito,7050.4
33.0,Tiempo completo,Indefinido escrito,44967.3
72.0,Tiempo completo,Indefinido escrito,30770.1
41.0,Tiempo parcial,Indefinido escrito,17635.1
53.0,Tiempo parcial,Indefinido escrito,11631.9
83.0,Tiempo completo,Indefinido escrito,18718.1
33.0,Tiempo parcial,Indefinido escrito,14465.2
12.0,Tiempo completo,Indefinido escrito,36345.9
41.0,Tiempo completo,Indefinido escrito,16081.2
41.0,Tiempo completo,Indefinido escrito,23937.9
25.0,Tiempo completo,Indefinido escrito,57004.6
34.0,Tiempo completo,Indefinido escrito,24647.5
21.0,Tiempo completo,Indefinido escrito,27553.8
34.0,Tiempo completo,Indefinido escrito,18516.1
21.0,Tiempo completo,Indefinido escrito,44357.9
91.0,Tiempo parcial,Temporal escrito,16131.9
83.0,Tiempo completo,Indefinido escrito,19892.9
35.0,Tiempo completo,Indefinido escrito,44055.5
82.0,Tiempo completo,Indefinido escrito,15850.0
22.0,Tiempo parcial,Indefinido escrito,32089.3
91.0,Tiempo completo,Indefinido escrito,15087.2
22.0,Tiempo completo,Indefinido escrito,63113.4
52.0,Tiempo completo,Indefinido escrito,17224.9
93.0,Tiempo completo,Indefinido escrito,15389.3
26.0,Tiempo completo,Indefinido escrito,28645.8
71.0,Tiempo completo,Indefinido escrito,19352.8
34.0,Tiempo completo,Temporal escrito,26241.9
54.0,Tiempo completo,Indefinido escrito,15773.3
42.0,Tiempo completo,Indefinido escrito,16114.8
35.0,Tiempo completo,Indefinido escrito,25807.0
35.0,Tiempo completo,Indefinido escrito,38343.7
21.0,Tiempo completo,Indefinido escrito,45845.4
93.0,Tiempo completo,Indefinido escrito,17893.8
22.0,Tiempo completo,Indefinido escrito,19844.3
33.0,Tiempo completo,Indefinido escrito,29543.8
34.0,Tiempo completo,Indefinido escrito,16541.7
91.0,Tiempo parcial,Indefinido escrito,14067.6
41.0,Tiempo completo,Indefinido escrito,34211.3
41.0,Tiempo completo,Indefinido escrito,22064.3
25.0,Tiempo completo,Indefinido escrito,46025.1
22.0,Tiempo completo,Indefinido escrito,39527.9
21.0,Tiempo completo,Indefinido escrito,40095.3
51.0,Tiempo completo,Indefinido escrito,27577.4
31.0,Tiempo completo,Indefinido escrito,21488.8
51.0,Tiempo completo,Indefinido escrito,15615.6
25.0,Tiempo completo,Indefinido escrito,44881.4
32.0,Tiempo completo,Indefinido escrito,34401.3
52.0,Tiempo completo,Indefinido escrito,15701.8
31.0,Tiempo completo,Indefinido escrito,34806.3
41.0,Tiempo completo,Indefinido escrito,18656.9
41.0,Tiempo completo,Indefinido escrito,26782.6
25.0,Tiempo completo,Indefinido escrito,20713.2
43.0,Tiempo completo,Indefinido escrito,45419.2
43.0,Tiempo completo,Indefinido escrito,23292.7
25.0,Tiempo completo,Indefinido escrito,31184.7
33.0,Tiempo completo,Indefinido escrito,3754.1
81.0,Tiempo parcial,Temporal escrito,9524.4
81.0,Tiempo completo,Indefinido escrito,18125.7
22.0,Tiempo completo,Indefinido escrito,35088.9
33.0,Tiempo completo,Indefinido escrito,43740.9
32.0,Tiempo completo,Indefinido escrito,21149.8
52.0,Tiempo completo,Indefinido escrito,17440.8
71.0,Tiempo completo,Indefinido escrito,19800.0
22.0,Tiempo completo,Indefinido escrito,71491.5
52.0,Tiempo completo,Indefinido escrito,19477.8
72.0,Tiempo completo,Indefinido escrito,29065.5
31.0,Tiempo completo,Indefinido escrito,23281.3
31.0,Tiempo completo,Temporal escrito,8158.8
74.0,Tiempo completo,Indefinido escrito,18551.0
21.0,Tiempo completo,Indefinido escrito,35459.3
31.0,Tiempo completo,Indefinido escrito,33851.5
35.0,Tiempo completo,Indefinido escrito,25325.1
42.0,Tiempo completo,Indefinido escrito,30640.2
35.0,Tiempo completo,Indefinido escrito,24078.2
41.0,Tiempo completo,Indefinido escrito,16392.7
21.0,Tiempo completo,Indefinido escrito,31054.5
24.0,Tiempo completo,Indefinido escrito,20530.8
83.0,Tiempo completo,Indefinido escrito,17783.9
26.0,Tiempo completo,,45732.4
25.0,Tiempo completo,Indefinido escrito,30249.6
22.0,Tiempo completo,Indefinido escrito,89652.5
72.0,Tiempo completo,Indefinido escrito,26418.1
42.0,Tiempo completo,Indefinido escrito,23571.0
24.0,Tiempo completo,Indefinido escrito,27368.7
41.0,Tiempo completo,Temporal escrito,23862.1
54.0,Tiempo completo,Indefinido escrito,32804.9
25.0,Tiempo completo,Indefinido escrito,34085.6
32.0,Tiempo completo,Indefinido escrito,14012.4
23.0,Tiempo completo,Indefinido escrito,25775.0
23.0,Tiempo completo,Indefinido escrito,28488.4
